Year,NumberNon,PercentNon,,NumberWith,PercentWith
1994,24948,61,40716,15626,38
1995,25768,62,41817,15893,38
1996,26052,62,42065,15866,38
1997,26902,64,42013,14973,36
1998,26477,64,41501,14899,36
1999,26798,64,41717,14790,35
2000,26082,62,41945,15746,38
2001,26334,62,42196,15731,37
2002,27080,63,43005,15793,37
2003,27328,64,42884,15423,36
2004,27413,64,42836,15311,36
2005,27423,63,43510,15985,37
2006,26633,62,42708,15970,37
2007,25611,62,41259,15534,38
2008,23499,63,37423,13826,37
2009,21051,62,33883,12731,38
2010,21005,64,32999,11906,36
2011,20848,64,32479,11527,35
2012,21563,64,33782,12118,36
2013,20843,63,32894,11941,36
2014,20856,64,32675,11731,36
